,Year,Data Type,Institution,Degree Name,Discipline Name,Non Res Alien M,Non Res Alien F,Unknown M,Unknown F,Hispanic M,Hispanic F,American Indian M,American Indian F,Asian American M,Asian American F,African American M,African American F,Hawaiian/pac.isl M,Hawaiian/pac.isl F,White M,White F,Multiracial M,Multiracial F,Total
191,2019,Enrollment,Arizona State University,Human Systems Engineering (M.S.),Other Eng. Technology Disciplines,4,5,0,0,1,1,0,0,1,5,0,2,0,0,10,5,0,0,34
192,2019,Enrollment,Arizona State University,Industrial Engineering (M.S.),Industrial/Manufacturing/Systems Engineering,51,7,0,0,2,0,0,0,1,0,0,0,0,0,3,4,0,0,68
193,2019,Enrollment,Arizona State University,Information Technology (M.S.),Computer Engineering Technology,32,15,0,0,0,1,0,0,2,1,0,0,0,0,13,0,0,0,64
194,2019,Enrollment,Arizona State University,Manufacturing Engineering (M.S.),Industrial/Manufacturing/Systems Engineering,13,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,18
195,2019,Enrollment,Arizona State University,Materials Science and Engineering (M.S.),Metallurgical and Matrls. Engineering,13,9,0,0,1,1,0,0,3,1,0,0,0,0,4,2,0,0,34
196,2019,Enrollment,Arizona State University,Mechanical Engineering (M.S.),Mechanical Engineering,156,12,0,0,6,1,0,0,5,0,0,1,0,0,24,3,0,0,208
197,2019,Enrollment,Arizona State University,Software Engineering (M.S.),Computer Science (inside engineering),123,43,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,173
198,2019,Enrollment,Arizona State University,Solar Energy Engineering & Commercialization (P.S.M.),Mechanical Engineering,1,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,7
199,2019,Enrollment,Arizona State University,Sustainable Engineering (M.S.E.),Civil/Environmental Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2019,Enrollment,Arizona State University,Technological Entrepreneurship & Management (M.S. Tech.),Industrial/Manufacturing Eng. Tech.,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10
201,2019,Enrollment,Arizona State University,Aerospace Engineering (Ph.D.),Aerospace Engineering,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,12
202,2019,Enrollment,Arizona State University,Biomedical Engineering (Ph.D.),Biomedical Engineering,14,18,0,0,5,1,0,0,2,2,0,0,0,1,14,12,2,1,72
203,2019,Enrollment,Arizona State University,Chemical Engineering (Ph.D.),Chemical Engineering,10,3,0,1,1,3,0,0,1,2,0,0,0,0,6,3,1,0,31
204,2019,Enrollment,Arizona State University,Civil and Environmental Engineering (Civil) (Ph.D.),Civil Engineering,26,11,1,0,0,3,0,0,0,1,1,0,0,0,3,2,1,0,49
205,2019,Enrollment,Arizona State University,Civil and Environmental Engineering (Env.) (Ph.D.),Environmental Engineering,21,10,1,0,3,3,0,0,0,2,0,0,0,0,3,9,0,0,52
206,2019,Enrollment,Arizona State University,Computer Engineering (Ph.D.),Computer Engineering,53,14,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,75
207,2019,Enrollment,Arizona State University,Computer Science (Ph.D.),Computer Science (inside engineering),88,31,1,0,3,0,0,0,0,2,1,0,0,0,17,4,2,0,149
208,2019,Enrollment,Arizona State University,Construction Management (Ph.D.),Construction Engineering Technology,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,9
209,2019,Enrollment,Arizona State University,Electrical Engineering (Ph.D.),Electrical Engineering,172,29,0,0,9,0,0,0,2,3,1,0,0,0,31,3,2,0,252
210,2019,Enrollment,Arizona State University,Engineering Education Systems and Design (Ph.D.),Other Engineering Disciplines,5,2,0,0,0,2,0,1,0,1,1,1,0,0,1,1,0,0,15
211,2019,Enrollment,Arizona State University,Human Systems Engineering (Ph.D.),Other Eng. Technology Disciplines,2,1,0,0,1,1,0,0,0,0,0,0,0,0,6,5,0,2,18
212,2019,Enrollment,Arizona State University,Industrial Engineering (Ph.D.),Industrial/Manufacturing/Systems Engineering,26,9,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,41
213,2019,Enrollment,Arizona State University,Materials Science and Engineering (Ph.D.),Metallurgical and Matrls. Engineering,44,9,0,0,4,0,0,0,3,2,0,0,0,0,12,4,1,0,79
214,2019,Enrollment,Arizona State University,Mechanical Engineering (Ph.D.),Mechanical Engineering,67,9,0,0,2,0,1,0,2,0,0,0,0,0,8,1,1,0,91
215,2019,Enrollment,Arizona State University,Systems Engineering (Ph.D.),Engineering (General),16,4,0,0,2,0,0,0,0,0,2,0,0,0,7,4,2,0,37
216,2019,Enrollment,Arkansas Tech University,Computer Engineering (BS),Electrical Engineering,0,0,0,0,2,0,0,0,1,1,2,0,0,0,32,3,3,0,44
